Landmarks,1441,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
129,Postorbital_LEFT2.7.03,normal,-8.447874e+01,4.438158e+01,1.771285e+01,-9.084395e-01,3.118340e-01,2.783837e-01
130,Postorbital_LEFT2.7.04,normal,-8.711366e+01,4.442294e+01,1.295960e+01,-7.112645e-01,5.884641e-01,3.844643e-01
131,Postorbital_LEFT2.7.05,normal,-8.849700e+01,4.410980e+01,1.026196e+01,-9.961992e-01,-1.428751e-02,-8.592563e-02
132,Postorbital_LEFT2.7.06,normal,-9.020619e+01,4.377231e+01,7.761318e+00,-2.881081e-01,9.404948e-01,1.801756e-01
133,Postorbital_LEFT2.7.07,normal,-9.233006e+01,4.345857e+01,5.598091e+00,-3.499138e-01,8.825826e-01,3.140196e-01
134,Postorbital_LEFT2.7.08,normal,-9.442290e+01,4.296639e+01,4.113835e+00,-5.280749e-01,8.153744e-01,2.372794e-01
135,Postorbital_LEFT2.7.09,normal,-9.671936e+01,4.243261e+01,2.988226e+00,-4.910640e-01,8.198695e-01,-2.943982e-01
136,Postorbital_LEFT2.7.10,normal,-9.879887e+01,4.112601e+01,2.097424e+00,-4.369552e-01,8.977354e-01,5.604988e-02
137,Postorbital_LEFT2.7.11,normal,-1.024401e+02,4.114952e+01,1.593512e+00,7.806969e-02,9.693940e-01,2.327669e-01
138,Postorbital_LEFT2.7.12,normal,-1.061054e+02,4.093876e+01,1.408330e+00,1.221069e-01,9.613248e-01,-2.468700e-01
139,Postorbital_LEFT2.7.13,normal,-1.097613e+02,4.064655e+01,1.157948e+00,-1.073129e-01,9.354464e-01,3.367848e-01
140,Postorbital_LEFT2.7.14,normal,-1.126581e+02,4.049854e+01,1.031915e+00,1.097153e-01,9.317566e-01,3.461104e-01
141,Postorbital_LEFT2.7.15,normal,-1.155117e+02,4.000623e+01,8.210142e-01,-3.133855e-01,9.076844e-01,2.791033e-01
142,Postorbital_LEFT2.7.16,normal,-1.174286e+02,3.808588e+01,-2.125282e-01,-3.377763e-01,8.653696e-01,3.701928e-01
143,Postorbital_LEFT2.7.17,normal,-1.206342e+02,3.505379e+01,-1.445346e+00,-3.184381e-02,9.585956e-01,2.829848e-01
144,Postorbital_LEFT2.7.18,normal,-1.248481e+02,3.633509e+01,-4.023295e+00,8.084023e-01,-3.414609e-02,5.876393e-01
