Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
113,Postorbital_RIGHT_1.5.04,normal,-1.01E+01,1.04E+00,-1.35E+01,4.35E-01,-4.13E-01,8.00E-01
114,Postorbital_RIGHT_1.5.05,normal,-1.03E+01,1.03E+00,-1.34E+01,1.76E-01,-5.97E-01,7.83E-01
115,Postorbital_RIGHT_1.5.06,normal,-1.04E+01,1.05E+00,-1.33E+01,3.45E-01,-3.20E-01,8.82E-01
116,Postorbital_RIGHT_1.5.07,normal,-1.06E+01,1.06E+00,-1.32E+01,3.13E-01,-2.70E-01,9.10E-01
117,Postorbital_RIGHT_1.5.08,normal,-1.07E+01,1.01E+00,-1.32E+01,1.65E-01,-6.98E-01,6.97E-01
118,Postorbital_RIGHT_1.5.09,normal,-1.08E+01,9.30E-01,-1.32E+01,4.95E-01,-3.62E-01,7.90E-01
119,Postorbital_RIGHT_1.5.10,normal,-1.09E+01,8.47E-01,-1.32E+01,7.49E-01,-1.80E-01,6.38E-01
120,Postorbital_RIGHT_1.5.11,normal,-1.10E+01,7.61E-01,-1.31E+01,6.50E-01,-2.29E-01,7.25E-01
121,Postorbital_RIGHT_1.5.12,normal,-1.11E+01,6.74E-01,-1.30E+01,7.97E-01,-4.82E-02,6.03E-01
122,Postorbital_RIGHT_1.5.13,normal,-1.11E+01,5.81E-01,-1.29E+01,8.18E-01,-8.25E-02,5.70E-01
123,Postorbital_RIGHT_1.5.14,normal,-1.12E+01,4.70E-01,-1.28E+01,5.16E-01,1.82E-01,8.37E-01
124,Postorbital_RIGHT_1.5.15,normal,-1.13E+01,3.42E-01,-1.28E+01,6.28E-01,-3.88E-01,6.75E-01
125,Postorbital_RIGHT_1.5.16,normal,-1.14E+01,2.56E-01,-1.27E+01,4.65E-01,-8.77E-01,1.23E-01
126,Postorbital_RIGHT_2.6.01,normal,-1.14E+01,2.63E-01,-1.28E+01,6.37E-01,3.40E-01,6.92E-01
127,Postorbital_RIGHT_2.6.02,normal,-1.13E+01,3.83E-01,-1.30E+01,7.96E-01,3.50E-01,4.94E-01
128,Postorbital_RIGHT_2.6.03,normal,-1.12E+01,5.32E-01,-1.30E+01,-5.17E-01,-1.66E-02,-8.56E-01
129,Postorbital_RIGHT_2.6.04,normal,-1.12E+01,6.32E-01,-1.32E+01,-3.78E-01,-8.25E-01,-4.20E-01
130,Postorbital_RIGHT_2.6.05,normal,-1.11E+01,7.69E-01,-1.33E+01,-2.11E-01,-4.53E-01,-8.66E-01
131,Postorbital_RIGHT_2.6.06,normal,-1.10E+01,9.24E-01,-1.34E+01,-8.01E-02,-1.03E-01,-9.91E-01
132,Postorbital_RIGHT_2.6.07,normal,-1.10E+01,9.98E-01,-1.35E+01,-3.27E-01,-7.89E-01,-5.21E-01
133,Postorbital_RIGHT_2.6.08,normal,-1.11E+01,1.05E+00,-1.37E+01,3.87E-02,-9.50E-01,-3.09E-01
134,Postorbital_RIGHT_2.6.09,normal,-1.12E+01,1.04E+00,-1.39E+01,-2.17E-01,-9.35E-01,-2.80E-01
135,Postorbital_RIGHT_2.6.10,normal,-1.13E+01,1.10E+00,-1.41E+01,-4.00E-01,-9.15E-01,-5.55E-02
136,Postorbital_RIGHT_2.6.11,normal,-1.15E+01,1.18E+00,-1.43E+01,-5.16E-01,-8.57E-01,-2.09E-02
