Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
1488,Quadrate_LEFT.9.1.1,normal,-1.22E+01,5.46E+00,-1.38E+01,1.32E-02,9.66E-01,-2.59E-01
1489,Quadrate_LEFT.9.1.2,normal,-1.23E+01,5.42E+00,-1.38E+01,-1.38E-01,9.90E-01,-3.90E-02
1490,Quadrate_LEFT.9.1.3,normal,-1.25E+01,5.41E+00,-1.37E+01,-1.55E-01,5.96E-01,7.88E-01
1491,Quadrate_LEFT.9.1.4,normal,-1.26E+01,5.36E+00,-1.37E+01,-4.02E-01,8.90E-01,2.16E-01
1492,Quadrate_LEFT.9.1.5,normal,-1.27E+01,5.33E+00,-1.37E+01,-4.11E-01,7.62E-01,4.99E-01
1493,Quadrate_LEFT.9.1.6,normal,-1.29E+01,5.29E+00,-1.38E+01,-2.20E-01,6.10E-01,7.61E-01
1494,Quadrate_LEFT.9.1.7,normal,-1.31E+01,5.29E+00,-1.38E+01,-1.97E-01,8.45E-01,4.97E-01
1495,Quadrate_LEFT.9.1.8,normal,-1.32E+01,5.23E+00,-1.39E+01,-1.89E-01,7.57E-01,6.26E-01
1496,Quadrate_LEFT.9.1.9,normal,-1.33E+01,5.18E+00,-1.39E+01,-4.43E-01,8.90E-01,1.09E-01
1497,Quadrate_LEFT.9.2.1,normal,-1.22E+01,5.43E+00,-1.39E+01,-3.12E-01,9.28E-01,-2.04E-01
1498,Quadrate_LEFT.9.2.2,normal,-1.23E+01,5.42E+00,-1.39E+01,-3.96E-01,7.08E-01,-5.85E-01
1499,Quadrate_LEFT.9.2.3,normal,-1.24E+01,5.36E+00,-1.38E+01,-4.33E-01,4.41E-01,-7.86E-01
1500,Quadrate_LEFT.9.2.4,normal,-1.25E+01,5.38E+00,-1.38E+01,-3.29E-01,6.91E-01,-6.44E-01
1501,Quadrate_LEFT.9.2.5,normal,-1.26E+01,5.18E+00,-1.38E+01,-2.74E-01,7.67E-01,-5.81E-01
1502,Quadrate_LEFT.9.2.6,normal,-1.28E+01,5.32E+00,-1.38E+01,-1.28E-01,9.90E-01,-6.65E-02
1503,Quadrate_LEFT.9.2.7,normal,-1.30E+01,5.34E+00,-1.39E+01,1.89E-01,8.90E-01,4.14E-01
1504,Quadrate_LEFT.9.2.8,normal,-1.32E+01,5.27E+00,-1.39E+01,-5.65E-02,9.76E-01,-2.09E-01
1505,Quadrate_LEFT.9.2.9,normal,-1.33E+01,5.18E+00,-1.40E+01,-5.49E-01,2.94E-01,7.82E-01
1506,Quadrate_LEFT.9.3.1,normal,-1.22E+01,5.41E+00,-1.40E+01,-5.78E-01,8.04E-01,-1.41E-01
1507,Quadrate_LEFT.9.3.2,normal,-1.22E+01,5.33E+00,-1.40E+01,-8.70E-01,3.83E-01,-3.10E-01
1508,Quadrate_LEFT.9.3.3,normal,-1.23E+01,5.32E+00,-1.39E+01,-3.62E-01,9.30E-01,5.95E-02
1509,Quadrate_LEFT.9.3.4,normal,-1.24E+01,5.19E+00,-1.39E+01,-4.69E-01,6.10E-01,-6.39E-01
1510,Quadrate_LEFT.9.3.5,normal,-1.26E+01,5.11E+00,-1.39E+01,-2.69E-01,1.12E-01,-9.57E-01
1511,Quadrate_LEFT.9.3.6,normal,-1.27E+01,5.09E+00,-1.39E+01,-4.95E-01,5.58E-01,-6.66E-01
1512,Quadrate_LEFT.9.3.7,normal,-1.29E+01,5.06E+00,-1.39E+01,-7.88E-02,9.37E-01,-3.42E-01
1513,Quadrate_LEFT.9.3.8,normal,-1.30E+01,5.05E+00,-1.40E+01,-1.83E-01,9.79E-01,-8.50E-02
1514,Quadrate_LEFT.9.3.9,normal,-1.33E+01,5.19E+00,-1.40E+01,-8.73E-01,4.84E-01,-6.16E-02
1515,Quadrate_LEFT.9.4.1,normal,-1.21E+01,5.41E+00,-1.41E+01,-2.73E-01,9.62E-01,-1.87E-02
1516,Quadrate_LEFT.9.4.2,normal,-1.22E+01,5.32E+00,-1.41E+01,-7.76E-01,1.94E-01,-6.00E-01
1517,Quadrate_LEFT.9.4.3,normal,-1.23E+01,5.20E+00,-1.40E+01,-3.63E-01,6.11E-01,-7.04E-01
1518,Quadrate_LEFT.9.4.4,normal,-1.24E+01,5.15E+00,-1.40E+01,-5.93E-01,7.13E-01,-3.74E-01
1519,Quadrate_LEFT.9.4.5,normal,-1.25E+01,5.09E+00,-1.40E+01,-5.91E-01,7.35E-01,-3.32E-01
1520,Quadrate_LEFT.9.4.6,normal,-1.27E+01,5.06E+00,-1.40E+01,-1.17E-01,9.60E-01,-2.54E-01
1521,Quadrate_LEFT.9.4.7,normal,-1.28E+01,5.04E+00,-1.40E+01,1.47E-01,9.77E-01,-1.52E-01
1522,Quadrate_LEFT.9.4.8,normal,-1.30E+01,5.04E+00,-1.40E+01,1.14E-03,9.45E-01,-3.28E-01
1523,Quadrate_LEFT.9.4.9,normal,-1.33E+01,5.19E+00,-1.41E+01,-5.51E-01,7.06E-01,-4.46E-01
1524,Quadrate_LEFT.9.5.1,normal,-1.21E+01,5.42E+00,-1.42E+01,-3.67E-01,9.30E-01,-3.08E-03
1525,Quadrate_LEFT.9.5.2,normal,-1.22E+01,5.28E+00,-1.42E+01,-8.83E-01,1.82E-01,-4.32E-01
1526,Quadrate_LEFT.9.5.3,normal,-1.22E+01,5.15E+00,-1.41E+01,-4.37E-01,6.65E-01,-6.06E-01
1527,Quadrate_LEFT.9.5.4,normal,-1.23E+01,5.11E+00,-1.41E+01,-3.95E-01,7.99E-01,-4.54E-01
1528,Quadrate_LEFT.9.5.5,normal,-1.25E+01,5.06E+00,-1.41E+01,-2.84E-01,8.40E-01,-4.63E-01
1529,Quadrate_LEFT.9.5.6,normal,-1.26E+01,5.03E+00,-1.41E+01,-1.03E-02,8.51E-01,-5.25E-01
1530,Quadrate_LEFT.9.5.7,normal,-1.28E+01,5.02E+00,-1.41E+01,-1.42E-01,9.87E-01,-7.96E-02
1531,Quadrate_LEFT.9.5.8,normal,-1.31E+01,5.06E+00,-1.41E+01,1.07E-02,9.70E-01,2.43E-01
1532,Quadrate_LEFT.9.5.9,normal,-1.33E+01,5.17E+00,-1.41E+01,-3.59E-01,8.61E-01,-3.60E-01
1533,Quadrate_LEFT.9.6.1,normal,-1.21E+01,5.42E+00,-1.43E+01,2.94E-01,9.51E-01,-9.09E-02
1534,Quadrate_LEFT.9.6.2,normal,-1.21E+01,5.27E+00,-1.43E+01,-8.95E-01,3.89E-01,-2.18E-01
1535,Quadrate_LEFT.9.6.3,normal,-1.22E+01,5.11E+00,-1.42E+01,-5.13E-01,7.83E-01,-3.52E-01
1536,Quadrate_LEFT.9.6.4,normal,-1.23E+01,5.08E+00,-1.42E+01,-4.42E-01,7.71E-01,-4.59E-01
1537,Quadrate_LEFT.9.6.5,normal,-1.25E+01,5.05E+00,-1.42E+01,-7.67E-04,9.52E-01,3.06E-01
1538,Quadrate_LEFT.9.6.6,normal,-1.27E+01,5.05E+00,-1.42E+01,4.02E-02,9.73E-01,2.27E-01
1539,Quadrate_LEFT.9.6.7,normal,-1.29E+01,5.05E+00,-1.42E+01,-8.89E-02,9.96E-01,-3.84E-04
1540,Quadrate_LEFT.9.6.8,normal,-1.31E+01,5.07E+00,-1.41E+01,5.12E-02,9.87E-01,-1.49E-01
1541,Quadrate_LEFT.9.6.9,normal,-1.33E+01,5.15E+00,-1.42E+01,2.64E-01,8.30E-01,-4.92E-01
1542,Quadrate_LEFT.9.7.1,normal,-1.20E+01,5.42E+00,-1.45E+01,2.84E-01,9.36E-01,2.07E-01
1543,Quadrate_LEFT.9.7.2,normal,-1.21E+01,5.31E+00,-1.44E+01,-4.48E-01,8.31E-01,-3.29E-01
1544,Quadrate_LEFT.9.7.3,normal,-1.22E+01,5.10E+00,-1.43E+01,-1.47E-01,9.82E-01,1.21E-01
1545,Quadrate_LEFT.9.7.4,normal,-1.24E+01,5.06E+00,-1.43E+01,-1.43E-01,9.51E-01,2.73E-01
1546,Quadrate_LEFT.9.7.5,normal,-1.25E+01,5.06E+00,-1.42E+01,-9.05E-02,9.96E-01,-2.58E-02
1547,Quadrate_LEFT.9.7.6,normal,-1.27E+01,5.05E+00,-1.42E+01,-1.17E-01,9.61E-01,-2.51E-01
1548,Quadrate_LEFT.9.7.7,normal,-1.29E+01,5.04E+00,-1.42E+01,-1.67E-01,8.55E-01,-4.91E-01
1549,Quadrate_LEFT.9.7.8,normal,-1.31E+01,5.05E+00,-1.42E+01,-8.11E-02,9.07E-01,-4.13E-01
1550,Quadrate_LEFT.9.7.9,normal,-1.33E+01,5.00E+00,-1.41E+01,8.27E-02,9.85E-01,1.53E-01
1551,Quadrate_LEFT.9.8.1,normal,-1.20E+01,5.42E+00,-1.46E+01,-2.19E-02,9.86E-01,-1.63E-01
1552,Quadrate_LEFT.9.8.2,normal,-1.21E+01,5.17E+00,-1.45E+01,-4.87E-01,8.53E-01,-1.88E-01
1553,Quadrate_LEFT.9.8.3,normal,-1.23E+01,5.10E+00,-1.44E+01,-4.05E-01,8.65E-01,-2.97E-01
1554,Quadrate_LEFT.9.8.4,normal,-1.24E+01,5.07E+00,-1.44E+01,-1.58E-01,9.68E-01,-1.92E-01
1555,Quadrate_LEFT.9.8.5,normal,-1.25E+01,5.05E+00,-1.43E+01,-1.41E-01,9.57E-01,-2.53E-01
1556,Quadrate_LEFT.9.8.6,normal,-1.27E+01,5.03E+00,-1.43E+01,-1.60E-01,6.32E-01,-7.58E-01
1557,Quadrate_LEFT.9.8.7,normal,-1.29E+01,5.02E+00,-1.42E+01,-4.33E-02,5.90E-01,-8.06E-01
1558,Quadrate_LEFT.9.8.8,normal,-1.31E+01,5.04E+00,-1.42E+01,2.07E-01,8.63E-01,-4.61E-01
1559,Quadrate_LEFT.9.8.9,normal,-1.33E+01,5.08E+00,-1.42E+01,-5.98E-01,7.57E-01,-2.62E-01
1560,Quadrate_LEFT.9.9.1,normal,-1.20E+01,5.26E+00,-1.47E+01,2.15E-01,9.76E-01,4.78E-02
1561,Quadrate_LEFT.9.9.2,normal,-1.22E+01,5.08E+00,-1.46E+01,-3.74E-01,5.41E-01,-7.53E-01
1562,Quadrate_LEFT.9.9.3,normal,-1.24E+01,5.02E+00,-1.45E+01,-8.87E-01,1.26E-01,-4.44E-01
1563,Quadrate_LEFT.9.9.4,normal,-1.25E+01,5.02E+00,-1.44E+01,-3.51E-01,8.10E-01,-4.70E-01
1564,Quadrate_LEFT.9.9.5,normal,-1.26E+01,5.03E+00,-1.43E+01,-4.59E-01,7.39E-01,-4.94E-01
1565,Quadrate_LEFT.9.9.6,normal,-1.27E+01,5.02E+00,-1.43E+01,-3.22E-01,4.68E-01,-8.23E-01
1566,Quadrate_LEFT.9.9.7,normal,-1.30E+01,5.01E+00,-1.42E+01,-5.94E-01,1.06E-01,-7.97E-01
1567,Quadrate_LEFT.9.9.8,normal,-1.32E+01,5.00E+00,-1.43E+01,4.08E-01,3.74E-01,-8.33E-01
1568,Quadrate_LEFT.9.9.9,normal,-1.33E+01,5.06E+00,-1.43E+01,4.58E-01,6.52E-01,-6.04E-01
1569,Supraoccipital_LEFT.10.1.1,normal,-1.31E+01,4.23E+00,-1.33E+01,-8.90E-01,1.59E-01,4.26E-01
1570,Supraoccipital_LEFT.10.1.2,normal,-1.32E+01,4.08E+00,-1.32E+01,-7.84E-01,6.18E-01,6.09E-02
1571,Supraoccipital_LEFT.10.1.3,normal,-1.33E+01,3.94E+00,-1.32E+01,-7.77E-01,6.11E-01,1.49E-01
1572,Supraoccipital_LEFT.10.1.4,normal,-1.34E+01,3.78E+00,-1.32E+01,-9.04E-01,4.28E-01,9.14E-03
1573,Supraoccipital_LEFT.10.1.5,normal,-1.35E+01,3.63E+00,-1.32E+01,-7.11E-01,4.13E-01,5.69E-01
1574,Supraoccipital_LEFT.10.1.6,normal,-1.35E+01,3.46E+00,-1.33E+01,-7.04E-01,-7.62E-02,7.06E-01
1575,Supraoccipital_LEFT.10.1.7,normal,-1.36E+01,3.28E+00,-1.33E+01,-4.82E-01,3.07E-01,8.21E-01
1576,Supraoccipital_LEFT.10.1.8,normal,-1.36E+01,3.09E+00,-1.32E+01,-8.38E-01,-1.99E-02,5.46E-01
1577,Supraoccipital_LEFT.10.1.9,normal,-1.37E+01,2.87E+00,-1.32E+01,-9.22E-01,1.94E-01,3.34E-01
1578,Supraoccipital_LEFT.10.2.1,normal,-1.32E+01,4.30E+00,-1.33E+01,-6.43E-01,1.33E-01,7.54E-01
1579,Supraoccipital_LEFT.10.2.2,normal,-1.32E+01,4.14E+00,-1.33E+01,-8.12E-01,5.58E-01,1.70E-01
1580,Supraoccipital_LEFT.10.2.3,normal,-1.34E+01,3.97E+00,-1.33E+01,-4.67E-01,3.91E-01,7.93E-01
1581,Supraoccipital_LEFT.10.2.4,normal,-1.35E+01,3.81E+00,-1.33E+01,-5.49E-01,2.22E-01,8.06E-01
1582,Supraoccipital_LEFT.10.2.5,normal,-1.35E+01,3.61E+00,-1.34E+01,-7.54E-01,-2.41E-01,6.12E-01
1583,Supraoccipital_LEFT.10.2.6,normal,-1.36E+01,3.46E+00,-1.33E+01,-4.27E-01,-2.96E-02,9.04E-01
1584,Supraoccipital_LEFT.10.2.7,normal,-1.37E+01,3.27E+00,-1.33E+01,-4.61E-01,-1.56E-01,8.74E-01
1585,Supraoccipital_LEFT.10.2.8,normal,-1.37E+01,3.07E+00,-1.33E+01,-8.26E-01,2.81E-01,4.89E-01
1586,Supraoccipital_LEFT.10.2.9,normal,-1.37E+01,2.87E+00,-1.33E+01,-7.31E-01,-3.00E-01,6.13E-01
1587,Supraoccipital_LEFT.10.3.1,normal,-1.32E+01,4.37E+00,-1.34E+01,-4.16E-01,-7.91E-02,9.06E-01
1588,Supraoccipital_LEFT.10.3.2,normal,-1.33E+01,4.22E+00,-1.34E+01,-5.80E-01,8.11E-01,7.46E-02
1589,Supraoccipital_LEFT.10.3.3,normal,-1.35E+01,4.04E+00,-1.34E+01,-3.88E-01,3.63E-01,8.47E-01
1590,Supraoccipital_LEFT.10.3.4,normal,-1.35E+01,3.87E+00,-1.34E+01,-3.61E-01,3.39E-01,8.69E-01
1591,Supraoccipital_LEFT.10.3.5,normal,-1.37E+01,3.70E+00,-1.33E+01,2.02E-02,7.03E-02,9.97E-01
1592,Supraoccipital_LEFT.10.3.6,normal,-1.37E+01,3.51E+00,-1.33E+01,-4.89E-01,-1.91E-01,8.51E-01
1593,Supraoccipital_LEFT.10.3.7,normal,-1.38E+01,3.30E+00,-1.34E+01,-6.70E-01,-3.79E-01,6.39E-01
1594,Supraoccipital_LEFT.10.3.8,normal,-1.37E+01,3.09E+00,-1.34E+01,-7.23E-01,-3.82E-02,6.90E-01
1595,Supraoccipital_LEFT.10.3.9,normal,-1.38E+01,2.86E+00,-1.34E+01,-9.19E-01,-3.69E-01,1.35E-01
1596,Supraoccipital_LEFT.10.4.1,normal,-1.33E+01,4.44E+00,-1.34E+01,-4.87E-01,-3.40E-02,8.73E-01
1597,Supraoccipital_LEFT.10.4.2,normal,-1.34E+01,4.29E+00,-1.35E+01,-5.15E-01,4.56E-01,7.26E-01
1598,Supraoccipital_LEFT.10.4.3,normal,-1.36E+01,4.13E+00,-1.35E+01,-3.02E-01,1.25E-01,9.45E-01
1599,Supraoccipital_LEFT.10.4.4,normal,-1.36E+01,3.94E+00,-1.35E+01,-9.12E-03,8.15E-01,5.79E-01
1600,Supraoccipital_LEFT.10.4.5,normal,-1.38E+01,3.77E+00,-1.33E+01,-1.49E-01,6.09E-03,9.89E-01
1601,Supraoccipital_LEFT.10.4.6,normal,-1.39E+01,3.56E+00,-1.34E+01,-5.58E-01,-3.89E-01,7.33E-01
1602,Supraoccipital_LEFT.10.4.7,normal,-1.38E+01,3.34E+00,-1.34E+01,-7.18E-01,-2.44E-01,6.52E-01
1603,Supraoccipital_LEFT.10.4.8,normal,-1.38E+01,3.11E+00,-1.34E+01,-2.77E-01,2.71E-01,9.22E-01
1604,Supraoccipital_LEFT.10.4.9,normal,-1.38E+01,2.87E+00,-1.35E+01,-9.41E-01,-2.46E-01,2.32E-01
1605,Supraoccipital_LEFT.10.5.1,normal,-1.34E+01,4.51E+00,-1.35E+01,-6.94E-01,-2.84E-03,7.20E-01
1606,Supraoccipital_LEFT.10.5.2,normal,-1.35E+01,4.37E+00,-1.36E+01,-8.76E-01,-1.34E-01,4.63E-01
1607,Supraoccipital_LEFT.10.5.3,normal,-1.37E+01,4.20E+00,-1.35E+01,-9.34E-01,-3.37E-01,1.19E-01
1608,Supraoccipital_LEFT.10.5.4,normal,-1.38E+01,4.03E+00,-1.35E+01,1.35E-01,5.39E-01,8.31E-01
1609,Supraoccipital_LEFT.10.5.5,normal,-1.40E+01,3.83E+00,-1.34E+01,-4.49E-01,4.67E-02,8.92E-01
1610,Supraoccipital_LEFT.10.5.6,normal,-1.40E+01,3.62E+00,-1.34E+01,-8.24E-01,-4.80E-01,3.02E-01
1611,Supraoccipital_LEFT.10.5.7,normal,-1.39E+01,3.38E+00,-1.35E+01,-3.26E-01,-1.04E-02,9.45E-01
1612,Supraoccipital_LEFT.10.5.8,normal,-1.39E+01,3.13E+00,-1.35E+01,2.28E-01,-1.84E-01,9.56E-01
1613,Supraoccipital_LEFT.10.5.9,normal,-1.39E+01,2.86E+00,-1.35E+01,-2.48E-01,-1.39E-01,9.59E-01
1614,Supraoccipital_LEFT.10.6.1,normal,-1.35E+01,4.59E+00,-1.36E+01,-7.28E-01,-2.16E-02,6.85E-01
1615,Supraoccipital_LEFT.10.6.2,normal,-1.36E+01,4.45E+00,-1.36E+01,-5.84E-01,6.29E-01,5.13E-01
1616,Supraoccipital_LEFT.10.6.3,normal,-1.38E+01,4.28E+00,-1.36E+01,-5.90E-01,6.35E-01,4.98E-01
1617,Supraoccipital_LEFT.10.6.4,normal,-1.39E+01,4.10E+00,-1.35E+01,-2.38E-01,2.79E-01,9.30E-01
1618,Supraoccipital_LEFT.10.6.5,normal,-1.41E+01,3.91E+00,-1.34E+01,-6.14E-01,1.75E-02,7.89E-01
1619,Supraoccipital_LEFT.10.6.6,normal,-1.40E+01,3.68E+00,-1.35E+01,-8.27E-01,-4.19E-01,3.74E-01
1620,Supraoccipital_LEFT.10.6.7,normal,-1.41E+01,3.44E+00,-1.35E+01,-1.41E-01,3.84E-01,9.13E-01
1621,Supraoccipital_LEFT.10.6.8,normal,-1.40E+01,3.17E+00,-1.35E+01,-1.26E-01,3.82E-03,9.92E-01
1622,Supraoccipital_LEFT.10.6.9,normal,-1.40E+01,2.87E+00,-1.35E+01,-1.51E-01,-1.67E-02,9.88E-01
1623,Supraoccipital_LEFT.10.7.1,normal,-1.36E+01,4.67E+00,-1.36E+01,-3.62E-01,-1.11E-01,9.26E-01
1624,Supraoccipital_LEFT.10.7.2,normal,-1.37E+01,4.53E+00,-1.38E+01,-7.95E-01,3.27E-01,5.11E-01
1625,Supraoccipital_LEFT.10.7.3,normal,-1.38E+01,4.36E+00,-1.38E+01,-5.17E-01,6.09E-01,6.01E-01
1626,Supraoccipital_LEFT.10.7.4,normal,-1.40E+01,4.17E+00,-1.37E+01,-7.80E-01,5.81E-01,2.32E-01
1627,Supraoccipital_LEFT.10.7.5,normal,-1.42E+01,4.00E+00,-1.35E+01,-7.64E-01,-8.74E-02,6.39E-01
1628,Supraoccipital_LEFT.10.7.6,normal,-1.41E+01,3.76E+00,-1.36E+01,-9.07E-01,-2.67E-02,4.21E-01
1629,Supraoccipital_LEFT.10.7.7,normal,-1.42E+01,3.52E+00,-1.36E+01,-4.24E-01,3.44E-01,8.38E-01
1630,Supraoccipital_LEFT.10.7.8,normal,-1.42E+01,3.22E+00,-1.35E+01,-4.39E-01,-1.79E-01,8.81E-01
1631,Supraoccipital_LEFT.10.7.9,normal,-1.41E+01,2.88E+00,-1.35E+01,-3.42E-02,-6.69E-03,9.99E-01
1632,Supraoccipital_LEFT.10.8.1,normal,-1.36E+01,4.77E+00,-1.37E+01,5.86E-01,1.54E-01,7.96E-01
1633,Supraoccipital_LEFT.10.8.2,normal,-1.38E+01,4.59E+00,-1.39E+01,-3.97E-01,-2.68E-02,9.17E-01
1634,Supraoccipital_LEFT.10.8.3,normal,-1.40E+01,4.42E+00,-1.39E+01,-2.88E-01,5.10E-01,8.11E-01
1635,Supraoccipital_LEFT.10.8.4,normal,-1.40E+01,4.22E+00,-1.39E+01,-8.70E-01,-2.89E-01,4.01E-01
1636,Supraoccipital_LEFT.10.8.5,normal,-1.43E+01,4.10E+00,-1.36E+01,-9.26E-01,3.59E-02,3.75E-01
1637,Supraoccipital_LEFT.10.8.6,normal,-1.42E+01,3.87E+00,-1.37E+01,-3.08E-01,-7.23E-01,6.19E-01
1638,Supraoccipital_LEFT.10.8.7,normal,-1.42E+01,3.59E+00,-1.37E+01,-6.34E-01,4.56E-01,6.25E-01
1639,Supraoccipital_LEFT.10.8.8,normal,-1.43E+01,3.31E+00,-1.36E+01,-5.81E-01,1.52E-01,7.99E-01
1640,Supraoccipital_LEFT.10.8.9,normal,-1.42E+01,2.90E+00,-1.36E+01,-2.41E-01,1.41E-01,9.60E-01
1641,Supraoccipital_LEFT.10.9.1,normal,-1.37E+01,4.89E+00,-1.37E+01,-6.88E-01,5.74E-01,4.43E-01
1642,Supraoccipital_LEFT.10.9.2,normal,-1.40E+01,4.68E+00,-1.39E+01,-2.04E-01,-3.62E-01,9.10E-01
1643,Supraoccipital_LEFT.10.9.3,normal,-1.42E+01,4.48E+00,-1.39E+01,-4.61E-01,3.29E-01,8.25E-01
1644,Supraoccipital_LEFT.10.9.4,normal,-1.42E+01,4.32E+00,-1.39E+01,3.47E-03,8.92E-01,4.51E-01
1645,Supraoccipital_LEFT.10.9.5,normal,-1.43E+01,4.20E+00,-1.38E+01,-8.33E-01,3.44E-01,4.34E-01
1646,Supraoccipital_LEFT.10.9.6,normal,-1.42E+01,3.98E+00,-1.38E+01,-9.71E-01,6.72E-02,2.30E-01
1647,Supraoccipital_LEFT.10.9.7,normal,-1.43E+01,3.80E+00,-1.38E+01,-6.63E-01,5.59E-01,4.98E-01
1648,Supraoccipital_LEFT.10.9.8,normal,-1.44E+01,3.50E+00,-1.37E+01,3.51E-01,3.52E-01,8.67E-01
1649,Supraoccipital_LEFT.10.9.9,normal,-1.43E+01,2.91E+00,-1.36E+01,-8.82E-01,2.38E-01,4.07E-01
1650,Supraoccipital_RIGHT.11.1.1,normal,-1.38E+01,2.68E+00,-1.34E+01,-8.06E-01,-2.49E-03,5.92E-01
1651,Supraoccipital_RIGHT.11.1.2,normal,-1.37E+01,2.45E+00,-1.34E+01,-6.61E-01,-5.20E-01,5.40E-01
1652,Supraoccipital_RIGHT.11.1.3,normal,-1.37E+01,2.19E+00,-1.33E+01,-9.07E-01,-1.06E-01,4.08E-01
1653,Supraoccipital_RIGHT.11.1.4,normal,-1.37E+01,1.93E+00,-1.32E+01,-8.23E-01,-5.25E-01,2.17E-01
1654,Supraoccipital_RIGHT.11.1.5,normal,-1.35E+01,1.72E+00,-1.33E+01,-9.01E-01,-3.34E-01,2.77E-01
1655,Supraoccipital_RIGHT.11.1.6,normal,-1.35E+01,1.52E+00,-1.32E+01,-8.84E-01,-2.84E-01,3.72E-01
1656,Supraoccipital_RIGHT.11.1.7,normal,-1.34E+01,1.35E+00,-1.33E+01,-8.57E-01,-3.61E-01,3.68E-01
1657,Supraoccipital_RIGHT.11.1.8,normal,-1.33E+01,1.15E+00,-1.33E+01,-8.82E-01,-4.32E-01,1.89E-01
1658,Supraoccipital_RIGHT.11.1.9,normal,-1.31E+01,9.32E-01,-1.35E+01,-6.56E-01,-6.40E-01,-3.99E-01
1659,Supraoccipital_RIGHT.11.2.1,normal,-1.38E+01,2.68E+00,-1.34E+01,8.14E-01,3.46E-01,4.66E-01
1660,Supraoccipital_RIGHT.11.2.2,normal,-1.38E+01,2.47E+00,-1.33E+01,-8.09E-01,-2.83E-01,5.15E-01
1661,Supraoccipital_RIGHT.11.2.3,normal,-1.37E+01,2.23E+00,-1.33E+01,-9.51E-01,2.77E-01,-1.33E-01
1662,Supraoccipital_RIGHT.11.2.4,normal,-1.36E+01,1.99E+00,-1.33E+01,-9.33E-01,-2.23E-01,2.83E-01
1663,Supraoccipital_RIGHT.11.2.5,normal,-1.36E+01,1.73E+00,-1.33E+01,-9.38E-01,-2.33E-01,2.58E-01
1664,Supraoccipital_RIGHT.11.2.6,normal,-1.35E+01,1.52E+00,-1.33E+01,-7.82E-01,-4.50E-01,4.32E-01
1665,Supraoccipital_RIGHT.11.2.7,normal,-1.34E+01,1.31E+00,-1.34E+01,-9.09E-01,-3.80E-01,1.73E-01
1666,Supraoccipital_RIGHT.11.2.8,normal,-1.33E+01,1.16E+00,-1.35E+01,-7.79E-01,-6.05E-01,1.64E-01
1667,Supraoccipital_RIGHT.11.2.9,normal,-1.32E+01,9.10E-01,-1.37E+01,-4.11E-01,-3.41E-01,8.45E-01
1668,Supraoccipital_RIGHT.11.3.1,normal,-1.38E+01,2.71E+00,-1.35E+01,-1.12E-01,5.33E-01,8.39E-01
1669,Supraoccipital_RIGHT.11.3.2,normal,-1.38E+01,2.49E+00,-1.34E+01,-7.31E-01,-4.23E-01,5.36E-01
1670,Supraoccipital_RIGHT.11.3.3,normal,-1.38E+01,2.24E+00,-1.33E+01,-6.85E-01,3.15E-01,6.57E-01
1671,Supraoccipital_RIGHT.11.3.4,normal,-1.37E+01,1.98E+00,-1.33E+01,-6.13E-01,-4.48E-01,6.51E-01
1672,Supraoccipital_RIGHT.11.3.5,normal,-1.36E+01,1.77E+00,-1.34E+01,-6.36E-01,-7.08E-01,3.08E-01
1673,Supraoccipital_RIGHT.11.3.6,normal,-1.35E+01,1.53E+00,-1.34E+01,-8.33E-01,-3.62E-01,4.19E-01
1674,Supraoccipital_RIGHT.11.3.7,normal,-1.34E+01,1.34E+00,-1.35E+01,-7.79E-01,-6.26E-01,-3.49E-02
1675,Supraoccipital_RIGHT.11.3.8,normal,-1.33E+01,1.18E+00,-1.37E+01,-7.05E-01,-7.07E-01,5.24E-02
1676,Supraoccipital_RIGHT.11.3.9,normal,-1.32E+01,8.56E-01,-1.38E+01,-2.93E-01,-5.97E-01,7.47E-01
1677,Supraoccipital_RIGHT.11.4.1,normal,-1.39E+01,2.72E+00,-1.35E+01,-3.13E-01,3.50E-01,8.83E-01
1678,Supraoccipital_RIGHT.11.4.2,normal,-1.39E+01,2.50E+00,-1.34E+01,-6.33E-01,-3.69E-01,6.80E-01
1679,Supraoccipital_RIGHT.11.4.3,normal,-1.38E+01,2.26E+00,-1.34E+01,-6.13E-01,2.80E-01,7.39E-01
1680,Supraoccipital_RIGHT.11.4.4,normal,-1.37E+01,2.06E+00,-1.34E+01,-7.22E-01,5.13E-01,4.65E-01
1681,Supraoccipital_RIGHT.11.4.5,normal,-1.37E+01,1.81E+00,-1.34E+01,-8.05E-01,-2.48E-01,5.39E-01
1682,Supraoccipital_RIGHT.11.4.6,normal,-1.36E+01,1.56E+00,-1.35E+01,-7.19E-01,-5.18E-01,4.64E-01
1683,Supraoccipital_RIGHT.11.4.7,normal,-1.35E+01,1.36E+00,-1.36E+01,-6.79E-01,-6.87E-01,2.59E-01
1684,Supraoccipital_RIGHT.11.4.8,normal,-1.34E+01,1.12E+00,-1.37E+01,-8.97E-01,-1.28E-01,-4.23E-01
1685,Supraoccipital_RIGHT.11.4.9,normal,-1.33E+01,8.13E-01,-1.38E+01,-4.56E-01,-5.68E-01,6.85E-01
1686,Supraoccipital_RIGHT.11.5.1,normal,-1.40E+01,2.74E+00,-1.35E+01,-1.61E-01,3.20E-01,9.33E-01
